Site,Month,Day,Hour,Value,Duration
GZ,1,1,0,38,Valid
GZ,1,1,1,40,Valid
GZ,1,1,2,40,Valid
GZ,1,1,3,34,Valid
GZ,1,1,4,42,Valid
GZ,1,1,5,44,Valid
GZ,1,1,6,48,Valid
GZ,1,1,7,50,Valid
GZ,1,1,8,52,Valid
GZ,1,1,9,48,Valid
GZ,1,1,10,49,Valid
GZ,1,1,11,47,Valid
GZ,1,1,12,40,Valid
GZ,1,1,13,47,Valid
GZ,1,1,14,44,Valid
GZ,1,1,15,50,Valid
GZ,1,1,16,50,Valid
GZ,1,1,17,51,Valid
GZ,1,1,18,65,Valid
GZ,1,1,19,71,Valid
GZ,1,1,20,71,Valid
GZ,1,1,21,69,Valid
GZ,1,1,22,71,Valid
GZ,1,1,23,59,Valid
GZ,1,2,0,58,Valid
GZ,1,2,1,55,Valid
GZ,1,2,2,52,Valid
GZ,1,2,3,46,Valid
GZ,1,2,4,46,Valid
GZ,1,2,5,41,Valid
GZ,1,2,6,42,Valid
GZ,1,2,7,35,Valid
GZ,1,2,8,37,Valid
GZ,1,2,9,41,Valid
GZ,1,2,10,41,Valid
GZ,1,2,11,37,Valid
GZ,1,2,12,38,Valid
GZ,1,2,13,42,Valid
GZ,1,2,14,46,Valid
GZ,1,2,15,46,Valid
GZ,1,2,16,56,Valid
GZ,1,2,17,63,Valid
GZ,1,2,18,70,Valid
GZ,1,2,19,75,Valid
GZ,1,2,20,93,Valid
GZ,1,2,21,118,Valid
GZ,1,2,22,150,Valid
GZ,1,2,23,134,Valid
GZ,1,3,0,119,Valid
GZ,1,3,1,114,Valid
GZ,1,3,2,106,Valid
GZ,1,3,3,107,Valid
GZ,1,3,4,118,Valid
GZ,1,3,5,126,Valid
GZ,1,3,6,120,Valid
GZ,1,3,7,126,Valid
GZ,1,3,8,132,Valid
GZ,1,3,9,129,Valid
GZ,1,3,10,123,Valid
GZ,1,3,11,116,Valid
GZ,1,3,12,103,Valid
GZ,1,3,13,104,Valid
GZ,1,3,14,106,Valid
GZ,1,3,15,100,Valid
GZ,1,3,16,105,Valid
GZ,1,3,17,102,Valid
GZ,1,3,18,102,Valid
GZ,1,3,19,113,Valid
GZ,1,3,20,133,Valid
GZ,1,3,21,152,Valid
GZ,1,3,22,152,Valid
GZ,1,3,23,91,Valid
GZ,1,4,0,74,Valid
GZ,1,4,1,65,Valid
GZ,1,4,2,58,Valid
GZ,1,4,3,71,Valid
GZ,1,4,4,100,Valid
GZ,1,4,5,93,Valid
GZ,1,4,6,87,Valid
GZ,1,4,7,73,Valid
GZ,1,4,8,67,Valid
GZ,1,4,9,68,Valid
GZ,1,4,10,79,Valid
GZ,1,4,11,88,Valid
GZ,1,4,12,88,Valid
GZ,1,4,13,70,Valid
GZ,1,4,14,69,Valid
GZ,1,4,15,66,Valid
GZ,1,4,16,69,Valid
GZ,1,4,17,64,Valid
GZ,1,4,18,88,Valid
GZ,1,4,19,100,Valid
GZ,1,4,20,83,Valid
GZ,1,4,21,68,Valid
GZ,1,4,22,73,Valid
